name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Springwater,23692,Valid,"Pallasite, PMG-an",67600,Found,1/01/1931 0:00,52,-108.3,"(52.000000, -108.300000)"
Rahimyar Khan,31302,Valid,L5,67225,Fell,1/01/1983 0:00,28.225,70.2,"(28.225000, 70.200000)"
Pervomaisky,18798,Valid,L6,66000,Fell,1/01/1933 0:00,56.63333,39.43333,"(56.633330, 39.433330)"
Timochin,24004,Valid,H5,65500,Fell,01/01/1807 12:00:00 AM,54.5,35.2,"(54.500000, 35.200000)"
Sychevka,23772,Valid,"Iron, IIIAB",65000,Found,1/01/1988 0:00,51.125,127.495,"(51.125000, 127.495000)"
Bocaiuva,5092,Valid,"Iron, ungrouped",64000,Found,1/01/1965 0:00,-17.16667,-43.83333,"(-17.166670, -43.833330)"
Signal Mountain,23592,Valid,"Iron, IVA",63500,Found,1/01/1919 0:00,32.5,-115.5,"(32.500000, -115.500000)"
Treysa,24050,Valid,"Iron, IIIAB-an",63000,Fell,1/01/1916 0:00,50.91667,9.18333,"(50.916670, 9.183330)"
Derrick Peak 88017,6668,Valid,"Iron, IIAB",63000,Found,1/01/1988 0:00,-80.06667,156.38333,"(-80.066670, 156.383330)"
Santa Clara,23163,Valid,"Iron, IVB",63000,Found,1/01/1976 0:00,24.46667,-103.35,"(24.466670, -103.350000)"
Tanezrouft 072,31333,Valid,H6,62285,Found,1/01/2002 0:00,24.43817,0.103,"(24.438170, 0.103000)"
Thunda,23978,Valid,"Iron, IIIAB",62100,Found,01/01/1881 12:00:00 AM,-25.7,143.05,"(-25.700000, 143.050000)"
Covert,5456,Valid,H5,61000,Found,01/01/1896 12:00:00 AM,39.2,-98.78333,"(39.200000, -98.783330)"
Gold Basin,10940,Valid,L4,61000,Found,1/01/1995 0:00,35.875,-114.23333,"(35.875000, -114.233330)"
Hex River Mountains,11880,Valid,"Iron, IIAB",60000,Found,01/01/1882 12:00:00 AM,-33.31667,19.61667,"(-33.316670, 19.616670)"
Nicolás Levalle,52413,Valid,L5,60000,Found,1/01/1956 0:00,-38.85028,-62.87889,"(-38.850280, -62.878890)"
Savannah,23189,Valid,"Iron, IIIAB",60000,Found,1/01/1923 0:00,35.16667,-88.18333,"(35.166670, -88.183330)"
Yongning,30365,Valid,"Iron, IAB-ung",60000,Found,1/01/1971 0:00,22.75,108.33333,"(22.750000, 108.333330)"
Derrick Peak A78008,6684,Valid,"Iron, IIAB",59400,Found,1/01/1978 0:00,-80.06667,156.38333,"(-80.066670, 156.383330)"
Łowicz,14718,Valid,Mesosiderite-A3,59000,Fell,1/01/1935 0:00,52,19.91667,"(52.000000, 19.916670)"
Bohumilitz,5099,Valid,"Iron, IAB-MG",59000,Found,01/01/1829 12:00:00 AM,49.05,13.76667,"(49.050000, 13.766670)"
Piedade do Bagre,18817,Valid,"Iron, ungrouped",59000,Found,1/01/1922 0:00,-18.94167,-44.98333,"(-18.941670, -44.983330)"
Quijingue,22362,Valid,"Pallasite, PMG",59000,Found,1/01/1984 0:00,-10.75,-39.21667,"(-10.750000, -39.216670)"
Guadalupe y Calvo,11431,Valid,"Iron, IIAB",58630,Found,1/01/1971 0:00,26.1,-106.96667,"(26.100000, -106.966670)"
Aliskerovo,472,Valid,"Iron, IIIE-an",58400,Found,1/01/1977 0:00,67.88333,167.5,"(67.883330, 167.500000)"
Ivanpah,12062,Valid,"Iron, IIIAB",58000,Found,01/01/1880 12:00:00 AM,35.33333,-115.31667,"(35.333330, -115.316670)"
Phillips County (stone),18808,Valid,L6,57900,Fell,1/01/1901 0:00,40,-99.25,"(40.000000, -99.250000)"
Julesburg,12208,Valid,L3.6,57900,Found,1/01/1983 0:00,39.975,-102.26667,"(39.975000, -102.266670)"
Miami,16630,Valid,H5,57700,Found,1/01/1930 0:00,35.66667,-100.6,"(35.666670, -100.600000)"
Gladstone (stone),10921,Valid,H4,57300,Found,1/01/1936 0:00,36.3,-104,"(36.300000, -104.000000)"
Warburton Range,24212,Valid,"Iron, IVB",56930,Found,1/01/1963 0:00,-26.28333,126.66667,"(-26.283330, 126.666670)"
Farmville,10075,Valid,H4,56000,Fell,1/01/1934 0:00,35.55,-77.53333,"(35.550000, -77.533330)"
Northwest Africa 4493,44791,Valid,LL5,56000,Found,1/01/2005 0:00,,,
Ashmore,2349,Valid,H5,55400,Found,1/01/1969 0:00,32.9,-102.28333,"(32.900000, -102.283330)"
Jenkins,12080,Valid,"Iron, IAB-MG",55400,Found,1/01/1946 0:00,36.82444,-93.76111,"(36.824440, -93.761110)"
Kulnine,12372,Valid,L6,55300,Found,01/01/1886 12:00:00 AM,-34.15,141.78333,"(-34.150000, 141.783330)"
Wellman (a),24237,Valid,H5,55000,Found,1/01/1940 0:00,33.03333,-102.33333,"(33.033330, -102.333330)"
Rosebud,22767,Valid,H5,54900,Found,1/01/1915 0:00,30.81667,-97.05,"(30.816670, -97.050000)"
Elenovka,7824,Valid,L5,54640,Fell,1/01/1951 0:00,47.83333,37.66667,"(47.833330, 37.666670)"
Aprel'sky,2319,Valid,"Iron, IIIAB",54600,Found,1/01/1969 0:00,53.3,126.11667,"(53.300000, 126.116670)"
Markovka,15427,Valid,H4,54200,Found,1/01/1967 0:00,52.4,79.8,"(52.400000, 79.800000)"
Veramin,24162,Valid,Mesosiderite-B2,54000,Fell,01/01/1880 12:00:00 AM,35.33333,51.63333,"(35.333330, 51.633330)"
Chihuahua City,5350,Valid,"Iron, IC",54000,Found,1/01/1929 0:00,28.66667,-106.11667,"(28.666670, -106.116670)"
